id,file_name,duration,language
66,ambos_noticiero-06-07-2022_719390.0-720740.0,1 s,ambos
67,ambos_noticiero-08-04-2022_1100700.0-1103800.0,3 s,ambos
68,ambos_noticiero-08-04-2022_1117180.0-1118180.0,1 s,ambos
69,ambos_noticiero-08-04-2022_1118850.0-1121040.0,2 s,ambos
70,ambos_noticiero-08-04-2022_196830.0-198940.0,2 s,ambos
71,ambos_noticiero-08-04-2022_299340.0-301540.0,2 s,ambos
72,ambos_noticiero-08-04-2022_325900.0-327960.0,2 s,ambos
73,ambos_noticiero-08-04-2022_708790.0-710120.0,1 s,ambos
74,ambos_noticiero-08-04-2022_716190.0-717580.0,1 s,ambos
75,ambos_noticiero-08-04-2022_829800.0-830970.0,1 s,ambos
76,ambos_noticiero-08-04-2022_839350.0-840050.0,0 s,ambos
77,ambos_noticiero-08-04-2022_840050.0-842770.0,2 s,ambos
78,ambos_noticiero-08-04-2022_846230.0-848450.0,2 s,ambos
79,ambos_noticiero-08-06-2022_1089670.0-1099850.0,10 s,ambos
80,ambos_noticiero-08-06-2022_117420.0-118680.0,1 s,ambos
81,ambos_noticiero-08-06-2022_1410900.0-1413110.0,2 s,ambos
82,ambos_noticiero-08-06-2022_1413110.0-1415290.0,2 s,ambos
83,ambos_noticiero-08-06-2022_1487540.0-1488630.0,1 s,ambos
84,ambos_noticiero-08-06-2022_151020.0-152910.0,1 s,ambos
85,ambos_noticiero-08-06-2022_265650.0-268400.0,2 s,ambos
86,ambos_noticiero-08-06-2022_577970.0-579360.0,1 s,ambos
87,ambos_noticiero-08-06-2022_610360.0-611830.0,1 s,ambos
88,ambos_noticiero-08-06-2022_622530.0-623160.0,0 s,ambos
89,ambos_noticiero-08-06-2022_623160.0-624180.0,1 s,ambos
90,ambos_noticiero-10-06-2022_1000230.0-1002230.0,2 s,ambos
91,ambos_noticiero-10-06-2022_1002230.0-1003920.0,1 s,ambos
92,ambos_noticiero-10-06-2022_1013930.0-1014720.0,0 s,ambos
93,ambos_noticiero-10-06-2022_112500.0-113590.0,1 s,ambos
94,ambos_noticiero-10-06-2022_142670.0-144220.0,1 s,ambos
95,ambos_noticiero-10-06-2022_1519670.0-1520880.0,1 s,ambos
96,ambos_noticiero-10-06-2022_1537750.0-1539230.0,1 s,ambos
97,ambos_noticiero-10-06-2022_1563560.0-1566520.0,2 s,ambos
98,ambos_noticiero-10-06-2022_567710.0-569270.0,1 s,ambos
99,ambos_noticiero-10-06-2022_572810.0-573580.0,0 s,ambos
100,ambos_noticiero-10-06-2022_574130.0-575490.0,1 s,ambos
101,ambos_noticiero-10-06-2022_575490.0-578160.0,2 s,ambos
102,ambos_noticiero-10-06-2022_629280.0-630270.0,0 s,ambos
103,ambos_noticiero-11-04-2022_1078170.0-1079590.0,1 s,ambos
104,ambos_noticiero-11-04-2022_1079590.0-1080880.0,1 s,ambos
105,ambos_noticiero-11-04-2022_1089180.0-1091260.0,2 s,ambos
106,ambos_noticiero-11-04-2022_1115650.0-1117060.0,1 s,ambos
107,ambos_noticiero-11-04-2022_1119840.0-1121950.0,2 s,ambos
108,ambos_noticiero-11-04-2022_1121950.0-1123500.0,1 s,ambos
109,ambos_noticiero-11-04-2022_1124540.0-1126220.0,1 s,ambos
110,ambos_noticiero-11-04-2022_1143030.0-1144940.0,1 s,ambos
111,ambos_noticiero-11-04-2022_115540.0-120530.0,4 s,ambos
112,ambos_noticiero-11-04-2022_123320.0-125820.0,2 s,ambos
113,ambos_noticiero-11-04-2022_1245060.0-1246920.0,1 s,ambos
114,ambos_noticiero-11-04-2022_1291710.0-1295220.0,3 s,ambos
115,ambos_noticiero-11-04-2022_380990.0-385560.0,4 s,ambos
116,ambos_noticiero-11-04-2022_499160.0-500750.0,1 s,ambos
117,ambos_noticiero-11-04-2022_500750.0-503920.0,3 s,ambos
118,ambos_noticiero-11-04-2022_508830.0-510530.0,1 s,ambos
119,ambos_noticiero-11-04-2022_514520.0-515740.0,1 s,ambos
120,ambos_noticiero-11-04-2022_515740.0-517179.99999999994,1 s,ambos
121,ambos_noticiero-11-04-2022_520840.00000000006-522039.0,1 s,ambos
122,ambos_noticiero-11-04-2022_523620.0-524780.0,1 s,ambos
123,ambos_noticiero-11-04-2022_532700.0-534320.0,1 s,ambos
124,ambos_noticiero-11-04-2022_545890.0-548300.0,2 s,ambos
125,ambos_noticiero-11-04-2022_549880.0-551180.0,1 s,ambos
126,ambos_noticiero-11-04-2022_554240.0-555670.0,1 s,ambos
127,ambos_noticiero-11-04-2022_558500.0-560240.0,1 s,ambos
128,ambos_noticiero-11-04-2022_611110.0-614460.0,3 s,ambos
129,ambos_noticiero-11-04-2022_614460.0-616380.0,1 s,ambos
130,ambos_noticiero-11-04-2022_618980.0-620290.0,1 s,ambos
131,ambos_noticiero-11-04-2022_620290.0-621490.0,1 s,ambos
132,ambos_noticiero-11-04-2022_622000.0-624400.0,2 s,ambos
133,ambos_noticiero-11-04-2022_724060.0-725840.0,1 s,ambos
134,ambos_noticiero-11-07-2022_1004760.0-1006860.0,2 s,ambos
135,ambos_noticiero-11-07-2022_1028869.9999999999-1031220.0,2 s,ambos
136,ambos_noticiero-11-07-2022_1036569.0-1037770.0,1 s,ambos
137,ambos_noticiero-11-07-2022_1038439.0000000001-1039619.9999999999,1 s,ambos
138,ambos_noticiero-11-07-2022_1045699.0000000001-1047000.0,1 s,ambos
139,ambos_noticiero-11-07-2022_1047000.0-1048780.0,1 s,ambos
140,ambos_noticiero-11-07-2022_1070120.0-1071230.0,1 s,ambos
141,ambos_noticiero-11-07-2022_1428760.0-1430540.0,1 s,ambos
142,ambos_noticiero-11-07-2022_262220.0-264380.0,2 s,ambos
143,ambos_noticiero-11-07-2022_267400.0-271320.0,3 s,ambos
144,ambos_noticiero-11-07-2022_316060.0-318000.0,1 s,ambos
145,ambos_noticiero-11-07-2022_343260.0-344270.0,1 s,ambos
146,ambos_noticiero-11-07-2022_379360.0-381010.0,1 s,ambos
147,ambos_noticiero-11-07-2022_559720.0-560750.0,1 s,ambos
148,ambos_noticiero-11-07-2022_574030.0-575240.0,1 s,ambos
149,ambos_noticiero-11-07-2022_598840.0-601220.0,2 s,ambos
150,ambos_noticiero-11-07-2022_629300.0-631650.0,2 s,ambos
151,ambos_noticiero-11-07-2022_683550.0-685200.0,1 s,ambos
152,ambos_noticiero-11-07-2022_740890.0-743570.0,2 s,ambos
153,ambos_noticiero-13-04-2022_1201570.0-1202620.0,1 s,ambos
154,ambos_noticiero-13-04-2022_1214270.0-1216130.0,1 s,ambos
155,ambos_noticiero-13-04-2022_122430.0-124610.0,2 s,ambos
156,ambos_noticiero-13-04-2022_125650.0-127650.0,2 s,ambos
157,ambos_noticiero-13-04-2022_1293390.0-1295090.0,1 s,ambos
158,ambos_noticiero-13-04-2022_172090.0-175540.0,3 s,ambos
159,ambos_noticiero-13-04-2022_22300.0-30790.0,8 s,ambos
160,ambos_noticiero-13-04-2022_247340.0-250330.0,2 s,ambos
161,ambos_noticiero-13-04-2022_250920.0-252050.0,1 s,ambos
162,ambos_noticiero-13-04-2022_256790.00000000003-259019.0,2 s,ambos
163,ambos_noticiero-13-04-2022_259019.0-260529.99999999997,1 s,ambos
164,ambos_noticiero-13-04-2022_271800.0-272850.0,1 s,ambos
165,ambos_noticiero-13-04-2022_275760.0-276810.0,1 s,ambos
166,ambos_noticiero-13-04-2022_276810.0-278150.0,1 s,ambos
167,ambos_noticiero-13-04-2022_312690.0-315210.0,2 s,ambos
168,ambos_noticiero-13-04-2022_315210.0-317480.0,2 s,ambos
169,ambos_noticiero-13-04-2022_351120.0-352540.0,1 s,ambos
170,ambos_noticiero-13-04-2022_431680.0-435650.0,3 s,ambos
171,ambos_noticiero-13-04-2022_435650.0-436850.0,1 s,ambos
172,ambos_noticiero-13-04-2022_436850.0-438760.0,1 s,ambos
173,ambos_noticiero-13-04-2022_546520.0-548180.0,1 s,ambos
174,ambos_noticiero-13-04-2022_561260.0-563350.0,2 s,ambos
175,ambos_noticiero-13-04-2022_563350.0-568290.0,4 s,ambos
176,ambos_noticiero-13-04-2022_710500.0-712950.0,2 s,ambos
177,ambos_noticiero-14-06-2022_1105330.0-1108250.0,2 s,ambos
178,ambos_noticiero-14-06-2022_1114190.0-1115470.0,1 s,ambos
179,ambos_noticiero-14-06-2022_114790.0-116280.0,1 s,ambos
180,ambos_noticiero-14-06-2022_1165870.0-1168950.0,3 s,ambos
181,ambos_noticiero-14-06-2022_138790.0-142180.0,3 s,ambos
182,ambos_noticiero-14-06-2022_142180.0-143850.0,1 s,ambos
183,ambos_noticiero-14-06-2022_158560.0-159690.0,1 s,ambos
184,ambos_noticiero-14-06-2022_159690.0-161100.0,1 s,ambos
185,ambos_noticiero-14-06-2022_282570.0-289340.0,6 s,ambos
186,ambos_noticiero-14-06-2022_402850.0-475670.0,12 s,ambos
187,ambos_noticiero-14-06-2022_538640.0-541470.0,2 s,ambos
188,ambos_noticiero-14-06-2022_541470.0-543580.0,2 s,ambos
189,ambos_noticiero-14-06-2022_589020.0-591100.0,2 s,ambos
190,ambos_noticiero-14-06-2022_709770.0-712230.0,2 s,ambos
191,ambos_noticiero-14-06-2022_716140.0-717320.0,1 s,ambos
192,ambos_noticiero-14-06-2022_952270.0-953280.0,1 s,ambos
193,ambos_noticiero-14-06-2022_95650.0-97290.0,1 s,ambos
194,ambos_noticiero-14-06-2022_959110.0-960550.0,1 s,ambos
195,ambos_noticiero-14-06-2022_965230.0-966960.0,1 s,ambos
196,ambos_noticiero-14-06-2022_97290.0-97880.0,0 s,ambos
197,ambos_noticiero-15-06-2022_1294670.0-1295900.0,1 s,ambos
198,ambos_noticiero-15-06-2022_1304920.0-1306180.0,1 s,ambos
199,ambos_noticiero-15-06-2022_1789670.0-1791030.0,1 s,ambos
200,ambos_noticiero-15-06-2022_524370.0-525500.0,1 s,ambos
201,ambos_noticiero-15-06-2022_626790.0-627970.0,1 s,ambos
202,ambos_noticiero-15-06-2022_780940.0-784260.0,3 s,ambos
203,ambos_noticiero-17-06-2022_1085280.0-1087850.0,2 s,ambos
204,ambos_noticiero-17-06-2022_1097350.0-1100250.0,2 s,ambos
205,ambos_noticiero-17-06-2022_1105550.0-1106790.0,1 s,ambos
206,ambos_noticiero-17-06-2022_1154770.0-1155870.0,1 s,ambos
207,ambos_noticiero-17-06-2022_1174040.0-1176550.0,2 s,ambos
208,ambos_noticiero-17-06-2022_1516410.0-1517490.0,1 s,ambos
209,ambos_noticiero-17-06-2022_178130.0-179970.0,1 s,ambos
210,ambos_noticiero-17-06-2022_246390.0-249070.0,2 s,ambos
211,ambos_noticiero-17-06-2022_282380.0-284370.0,1 s,ambos
212,ambos_noticiero-17-06-2022_284370.0-286740.0,2 s,ambos
213,ambos_noticiero-17-06-2022_605500.0-608230.0,2 s,ambos
214,ambos_noticiero-17-06-2022_618510.0-620340.0,1 s,ambos
215,ambos_noticiero-17-06-2022_628050.0-629100.0,1 s,ambos
216,ambos_noticiero-17-06-2022_732400.0-736240.0,3 s,ambos
217,ambos_noticiero-17-06-2022_783320.0-784820.0,1 s,ambos
218,ambos_noticiero-17-06-2022_811740.0-813220.0,1 s,ambos
219,ambos_noticiero-17-06-2022_817610.0-819850.0,2 s,ambos
220,ambos_noticiero-17-06-2022_850750.0-853310.0,2 s,ambos
221,ambos_noticiero-23-05-2022_1031079.0-1040869.9999999999,9 s,ambos
222,ambos_noticiero-23-05-2022_1127930.0-1130910.0,2 s,ambos
223,ambos_noticiero-23-05-2022_1130910.0-1131730.0,0 s,ambos
224,ambos_noticiero-23-05-2022_1146820.0-1152770.0,5 s,ambos
225,ambos_noticiero-23-05-2022_1458970.0-1467430.0,8 s,ambos
226,ambos_noticiero-23-06-2022_1067890.0-1068400.0,0 s,ambos
227,ambos_noticiero-23-06-2022_1068400.0-1069780.0,1 s,ambos
228,ambos_noticiero-23-06-2022_1123170.0-1125050.0,1 s,ambos
229,ambos_noticiero-23-06-2022_1147150.0-1149520.0,2 s,ambos
230,ambos_noticiero-23-06-2022_1152180.0-1154080.0,1 s,ambos
231,ambos_noticiero-23-06-2022_1155520.0-1157840.0,2 s,ambos
232,ambos_noticiero-23-06-2022_1158370.0-1161130.0,2 s,ambos
233,ambos_noticiero-23-06-2022_1174060.0-1177050.0,2 s,ambos
234,ambos_noticiero-23-06-2022_1177050.0-1178520.0,1 s,ambos
235,ambos_noticiero-23-06-2022_1178520.0-1180560.0,2 s,ambos
236,ambos_noticiero-23-06-2022_1520280.0-1522040.0,1 s,ambos
237,ambos_noticiero-23-06-2022_1536840.0-1540460.0,3 s,ambos
238,ambos_noticiero-23-06-2022_1558120.0-1559160.0,1 s,ambos
239,ambos_noticiero-23-06-2022_1569130.0-1571440.0,2 s,ambos
240,ambos_noticiero-23-06-2022_1571440.0-1572360.0,0 s,ambos
241,ambos_noticiero-23-06-2022_1588220.0-1589950.0,1 s,ambos
242,ambos_noticiero-23-06-2022_1684300.0-1690370.0,6 s,ambos
243,ambos_noticiero-23-06-2022_228340.0-230600.0,2 s,ambos
244,ambos_noticiero-23-06-2022_259358.99999999997-261930.0,2 s,ambos
245,ambos_noticiero-23-06-2022_305390.0-306760.0,1 s,ambos
246,ambos_noticiero-23-06-2022_703720.0-705770.0,2 s,ambos
247,ambos_noticiero-23-06-2022_707360.0-710720.0,3 s,ambos
248,ambos_noticiero-23-06-2022_713670.0-715030.0,1 s,ambos
249,ambos_noticiero-23-06-2022_716070.0-719070.0,3 s,ambos
250,ambos_noticiero-23-06-2022_774780.0-776570.0,1 s,ambos
251,ambos_noticiero-23-06-2022_779080.0-782220.0,3 s,ambos
252,ambos_noticiero-23-06-2022_787740.0-789450.0,1 s,ambos
253,ambos_noticiero-24-06-2022_1048770.0-1049360.0,0 s,ambos
254,ambos_noticiero-24-06-2022_1053170.0-1054300.0,1 s,ambos
255,ambos_noticiero-24-06-2022_1062540.0-1063570.0,1 s,ambos
256,ambos_noticiero-24-06-2022_1070370.0-1071870.0,1 s,ambos
257,ambos_noticiero-24-06-2022_1073280.0-1074880.0,1 s,ambos
258,ambos_noticiero-24-06-2022_1103760.0-1104590.0,0 s,ambos
259,ambos_noticiero-24-06-2022_1142460.0-1144050.0,1 s,ambos
260,ambos_noticiero-24-06-2022_1144050.0-1145420.0,1 s,ambos
261,ambos_noticiero-24-06-2022_1148990.0-1151560.0,2 s,ambos
262,ambos_noticiero-24-06-2022_1191130.0-1192850.0,1 s,ambos
263,ambos_noticiero-24-06-2022_1524310.0-1528620.0,4 s,ambos
264,ambos_noticiero-24-06-2022_1727020.0-1727610.0,0 s,ambos
265,ambos_noticiero-24-06-2022_1728170.0-1729570.0,1 s,ambos
266,ambos_noticiero-24-06-2022_184370.0-187000.0,2 s,ambos
267,ambos_noticiero-24-06-2022_238620.0-240590.0,1 s,ambos
268,ambos_noticiero-24-06-2022_240590.0-241720.0,1 s,ambos
269,ambos_noticiero-24-06-2022_243150.0-245380.0,2 s,ambos
270,ambos_noticiero-24-06-2022_739020.0-740840.0,1 s,ambos
271,ambos_noticiero-25-05-2022_1401760.0-1402910.0,1 s,ambos
272,ambos_noticiero-25-05-2022_1420200.0-1421640.0,1 s,ambos
273,ambos_noticiero-25-05-2022_149270.0-150270.0,1 s,ambos
274,ambos_noticiero-25-05-2022_22840.0-31450.0,8 s,ambos
275,ambos_noticiero-25-05-2022_311170.0-314160.0,2 s,ambos
276,ambos_noticiero-25-05-2022_324210.0-326080.0,1 s,ambos
277,ambos_noticiero-25-05-2022_715080.0-716660.0,1 s,ambos
278,ambos_noticiero-25-05-2022_778950.0-786940.0,7 s,ambos
279,ambos_noticiero-27-04-2022_1223800.0-1224990.0,1 s,ambos
280,ambos_noticiero-27-04-2022_1227720.0-1231540.0,3 s,ambos
281,ambos_noticiero-27-04-2022_142050.0-143200.0,1 s,ambos
282,ambos_noticiero-27-04-2022_155720.0-156770.0,1 s,ambos
283,ambos_noticiero-27-04-2022_159630.0-162410.0,2 s,ambos
284,ambos_noticiero-27-04-2022_812480.0-814910.0,2 s,ambos
285,ambos_noticiero-27-06-2022_1245580.0-1247580.0,2 s,ambos
286,ambos_noticiero-27-06-2022_1247580.0-1249330.0,1 s,ambos
287,ambos_noticiero-27-06-2022_1274050.0-1275320.0,1 s,ambos
288,ambos_noticiero-27-06-2022_1275320.0-1277600.0,2 s,ambos
289,ambos_noticiero-27-06-2022_1279930.0-1281210.0,1 s,ambos
290,ambos_noticiero-27-06-2022_1297340.0-1298250.0,0 s,ambos
291,ambos_noticiero-27-06-2022_1320440.0-1322110.0,1 s,ambos
292,ambos_noticiero-27-06-2022_244560.0-245200.0,0 s,ambos
293,ambos_noticiero-27-06-2022_317830.0-318880.0,1 s,ambos
294,ambos_noticiero-27-06-2022_406040.0-408370.0,2 s,ambos
295,ambos_noticiero-27-06-2022_454180.0-455910.0,1 s,ambos
296,ambos_noticiero-27-06-2022_5260.0-16480.0,11 s,ambos
297,ambos_noticiero-27-06-2022_916900.0-919290.0,2 s,ambos
298,ambos_noticiero-27-06-2022_928500.0-929640.0,1 s,ambos
299,ambos_noticiero-28-03-2022_1275160.0-1276990.0,1 s,ambos
300,ambos_noticiero-28-03-2022_1370090.0-1371510.0,1 s,ambos
301,ambos_noticiero-28-03-2022_1371510.0-1373840.0,2 s,ambos
302,ambos_noticiero-28-03-2022_1628370.0-1630880.0,2 s,ambos
303,ambos_noticiero-28-03-2022_170660.0-172090.0,1 s,ambos
304,ambos_noticiero-28-03-2022_172090.0-173430.0,1 s,ambos
305,ambos_noticiero-28-03-2022_183510.0-184710.0,1 s,ambos
306,ambos_noticiero-28-03-2022_1861770.0-1863940.0,2 s,ambos
307,ambos_noticiero-28-03-2022_240790.0-244630.0,3 s,ambos
308,ambos_noticiero-28-03-2022_275470.0-277080.0,1 s,ambos
309,ambos_noticiero-28-03-2022_282330.0-284410.0,2 s,ambos
310,ambos_noticiero-28-03-2022_480010.0-481810.0,1 s,ambos
311,ambos_noticiero-28-03-2022_528660.0-530580.0,1 s,ambos
312,ambos_noticiero-28-03-2022_531230.0-533270.0,2 s,ambos
313,ambos_noticiero-28-03-2022_752750.0-754550.0,1 s,ambos
314,ambos_noticiero-28-03-2022_780850.0-782650.0,1 s,ambos
315,ambos_noticiero-28-03-2022_842380.0-843990.0,1 s,ambos
316,ambos_noticiero-29-06-2022_1148410.0-1149670.0,1 s,ambos
317,ambos_noticiero-29-06-2022_1190710.0-1193710.0,3 s,ambos
318,ambos_noticiero-29-06-2022_1205910.0-1207950.0,2 s,ambos
319,ambos_noticiero-29-06-2022_1207950.0-1209850.0,1 s,ambos
320,ambos_noticiero-29-06-2022_1209850.0-1211360.0,1 s,ambos
321,ambos_noticiero-29-06-2022_1227250.0-1228330.0,1 s,ambos
322,ambos_noticiero-29-06-2022_1287360.0-1288960.0,1 s,ambos
323,ambos_noticiero-29-06-2022_1611620.0-1614180.0,2 s,ambos
324,ambos_noticiero-29-06-2022_1690870.0-1693040.0,2 s,ambos
325,ambos_noticiero-29-06-2022_1693040.0-1694280.0,1 s,ambos
326,ambos_noticiero-29-06-2022_175840.0-178090.0,2 s,ambos
327,ambos_noticiero-29-06-2022_195880.0-197100.0,1 s,ambos
328,ambos_noticiero-29-06-2022_221290.0-222600.0,1 s,ambos
329,ambos_noticiero-29-06-2022_255280.0-256950.0,1 s,ambos
330,ambos_noticiero-29-06-2022_259519.0-261238.99999999997,1 s,ambos
331,ambos_noticiero-29-06-2022_330160.0-331810.0,1 s,ambos
332,ambos_noticiero-29-06-2022_647870.0-651240.0,3 s,ambos
333,ambos_noticiero-29-06-2022_654310.0-657080.0,2 s,ambos
334,ambos_noticiero-29-06-2022_691530.0-693620.0,2 s,ambos
335,ambos_noticiero-29-06-2022_747400.0-749600.0,2 s,ambos
336,ambos_noticiero-29-06-2022_774540.0-776720.0,2 s,ambos
337,ambos_noticiero-29-06-2022_782410.0-783690.0,1 s,ambos
338,ambos_noticiero-8-07-2022_1197230.0-1198230.0,1 s,ambos
339,ambos_noticiero-8-07-2022_1475500.0-1478190.0,2 s,ambos
340,ambos_noticiero-8-07-2022_1507570.0-1510060.0,2 s,ambos
341,ambos_noticiero-8-07-2022_210480.0-212100.0,1 s,ambos
342,ambos_noticiero-8-07-2022_284170.0-287870.0,3 s,ambos
343,ambos_noticiero-8-07-2022_287870.0-290050.0,2 s,ambos
344,ambos_noticiero-8-07-2022_291330.0-292470.0,1 s,ambos
345,ambos_noticiero-8-07-2022_297840.0-299800.0,1 s,ambos
346,ambos_noticiero-8-07-2022_299800.0-301130.0,1 s,ambos
347,ambos_noticiero-8-07-2022_608770.0-612190.0,3 s,ambos
348,az_noticiero-24-06-2022_227990.0-230030.0,2 s,azz
349,azz_NAHUATL_noticiero-2022-06-03_100470.0-102940.0,2 s,azz
350,azz_NAHUATL_noticiero-2022-06-03_1022140.0-1023880.0,1 s,azz
351,azz_NAHUATL_noticiero-2022-06-03_1023880.0-1025400.0000000001,1 s,azz
352,azz_NAHUATL_noticiero-2022-06-03_1025400.0000000001-1027790.0,2 s,azz
353,azz_NAHUATL_noticiero-2022-06-03_1027790.0-1028579.0,0 s,azz
354,azz_NAHUATL_noticiero-2022-06-03_1028579.0-1029439.0000000001,0 s,azz
355,azz_NAHUATL_noticiero-2022-06-03_102940.0-103850.0,0 s,azz
356,azz_NAHUATL_noticiero-2022-06-03_1029439.0000000001-1030339.0,0 s,azz
357,azz_NAHUATL_noticiero-2022-06-03_1030339.0-1031510.0,1 s,azz
358,azz_NAHUATL_noticiero-2022-06-03_1031510.0-1032490.0,0 s,azz
359,azz_NAHUATL_noticiero-2022-06-03_1032490.0-1033380.0000000001,0 s,azz
360,azz_NAHUATL_noticiero-2022-06-03_1033380.0000000001-1034060.0,0 s,azz
361,azz_NAHUATL_noticiero-2022-06-03_1034060.0-1035199.0000000001,1 s,azz
362,azz_NAHUATL_noticiero-2022-06-03_1035199.0000000001-1035920.0000000001,0 s,azz
363,azz_NAHUATL_noticiero-2022-06-03_1035920.0000000001-1036470.0,0 s,azz
364,azz_NAHUATL_noticiero-2022-06-03_1036470.0-1039619.9999999999,3 s,azz
365,azz_NAHUATL_noticiero-2022-06-03_103850.0-104840.0,0 s,azz
366,azz_NAHUATL_noticiero-2022-06-03_1039619.9999999999-1040300.0,0 s,azz
367,azz_NAHUATL_noticiero-2022-06-03_1040300.0-1041150.0000000001,0 s,azz
368,azz_NAHUATL_noticiero-2022-06-03_1041150.0000000001-1041790.0,0 s,azz
369,azz_NAHUATL_noticiero-2022-06-03_1042420.0000000001-1044240.0,1 s,azz
370,azz_NAHUATL_noticiero-2022-06-03_1044240.0-1045910.0000000001,1 s,azz
371,azz_NAHUATL_noticiero-2022-06-03_1045910.0000000001-1047390.0000000001,1 s,azz
372,azz_NAHUATL_noticiero-2022-06-03_1048180.0000000001-1049180.0,1 s,azz
373,azz_NAHUATL_noticiero-2022-06-03_1049180.0-1050120.0,0 s,azz
